name,typical_majors,all_eligible_classifications,typical_classifications,eligible_races,eligible_gender,eligible_sexuality,meeting_frequency,meeting_times,meeting_locations,dues_required,dues_cost,application_required,application_difficulty,time_commitment,member_count,club_type,competitive_or_non_competitive,leadership_roles_available,new_member_onboarding_process,typical_activities,required_skills,offered_skills_or_benefits,club_culture_style,inclusivity_focus,expected_member_traits,administrative_contact_info,website,national_local_affiliation,bio
Courageous Conversations for Black Women,,,Undergraduate,"Black, African American",Women,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Social,,Interest-driven,courageousbw@gmail.com,,,Courageous Conversations is a wellbeing collaboration designed to positively impact the collegiate experiences of undergraduate women through themed dialogues.
Courageous Conversations for Latina Women,,,Undergraduate,"Hispanic, Latino",Women,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,"Social events, Workshops",,"Networking, Mentorship",Social,,Interest-driven,,,,"Courageous Conversations aims to foster community, belonging, and positive impact on undergraduate experiences, with a particular focus on amplifying the voices of Latina Women."
Creative Writers of Aggieland,,,Undergraduate,,,,Weekly,,LAAH 326,No,,No,Low,Medium,20-50,Creative,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Social,,Interest-driven,creativewriterstamu@gmail.com,null,,To expand the literary creativity of its members while providing a forum where they can talk freely and be critiqued by their fellow writers.
Creative Writing Techniques Club,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Creative,No,Yes,,Workshops,,Mentorship,Chill,,Interest-driven,cwtctamu@gmail.com,,,"To provide a medium for all students to express their passion for writing. All types of writing are welcome, from poetry, prose, screenwriting, fiction, non-fiction, fantasy, memoir, etc. As well as to help writers improve and hone their skill through practice, workshops, and discussions."
Criminal Law Society,"Pre-Law, Law",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Professional,,Interest-driven,tamulawcriminallawsociety@gmail.com,https://www.facebook.com/CriminalLawSociety/,,"The Texas A&M University School of Law Criminal Law Society strives to promote dialogue and activity regarding criminal justice practice, scholarship, and policymaking. It provides a forum for students to meet and learn from each other and from professionals in the criminal justice community."
Critical Incident Response Team,,Undergraduate,All majors welcome,,,,,,,No,,No,Low,Medium,100+,Service,No,Yes,,Volunteering,,Networking,Very active,,High commitment,,https://studentlife.tamu.edu/sas/emergencies/,No,"Texas A&M University and the Division of Student Affairs have developed a Critical Incident Response Team (CIRT), consisting of university administrators and staff, to best respond to the critical incidents involving students. CIRT is available 24/7, 365 days a year to help students on and off campus during a critical incident."
Cultural Awareness and Diversity Expansion Team,,Undergraduate,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Cultural,No,Yes,,Volunteering,,Leadership development,Social,,Interest-driven,gabrielbaguso@tamu.edu,https://www.facebook.com/CADETUNITY/,,"The purpose of the Cultural Awareness and Diversity Expansion Team (C.A.D.E.T.) is to enhance the Corps leadership development program, focusing on diversity and cultural awareness within the University and the Corps of Cadets; to increase minority enrollment and retention in the Corps of Cadets; and to engage in community service and outreach within the Bryan/College Station area."
Cupcakes For A Cause,,Undergraduate,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,cfactamu@gmail.com,https://cfactamu.wixsite.com/cfac,,Cupcakes For A Cause is a student organization that bakes and sells cupcakes to raise money for local charities in the Brazos Valley. Members come together at Wednesday bake nights to make homemade cupcakes with the help of the officers.
Cyber Policy Club,"Computer Science, Engineering",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Projects,,"Networking, Mentorship",Professional,,Interest-driven,,,,"We strive to be the premier student Organization at Texas A&M for aspiring cybersecurity strategists and policymakers, recognized for producing graduates who excel in high-stakes environments and contribute meaningfully to national and international cyber resilience."
Dance Arts Society,,,All majors welcome,,,,,,,No,,No,Low,Medium,20-50,Creative,No,Yes,,Projects,,Networking,Social,,Interest-driven,tamudaspresident@gmail.com,https://www.danceartssociety.com,No,"The purpose and objectives of this organization shall be to allow members to choreograph dances (ballet, tap, jazz, hip hop, modern, contemporary, etc) for members of the Bryan/College Station Community, who want to perform in a show at the end of each semester."
David Gilbert Leadership Conference,,Undergraduate,Undergraduate,,,,,,,No,,Yes,Medium,Medium,20-50,Service,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,gilbertleadershipconference@gmail.com,,,"The Gilbert Leadership Conference exists to serve the students of Texas A&M University by providing freshman the opportunity to develop themselves as leaders, to network and interact with one another, and to understand the leadership opportunities that are available across campus during their time at Texas A&M."
Davis-Gary Community Council,,Undergraduate,Undergraduate,,Women,,,,,No,,No,Low,Medium,50-100,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,Katherine.rochowiak@tamu.edu,https://rha.tamu.edu,No,"The Davis-Gary Hall Community Council serves as the representative leadership body for residents of Davis-Gary Hall at Texas A&M University. The council is dedicated to enhancing the residential experience by fostering community engagement, organizing programs, and advocating for resident needs."
Deaf Aggies & Friends,,,Undergraduate,,,,,,,,,No,Low,Low,20-50,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,deafaggies1986@gmail.com,https://pwoods2.github.io/deafaggies/,,To provide connections and educational opportunities for individuals within or interested in the local Deaf/Hard of Hearing community.
Deeper Life Campus Fellowship,,,Undergraduate,,,,,,,No,,No,Low,Medium,0-20,Service,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,dlbccollegestation@gmail.com,,,"The DLCF has a divine mandate and mission to impact, build, and engage interested students and employees of Texas A&M University to be their best for Jesus Christ."
Delight Ministries,,,Undergraduate,,Women,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,delight.tamu@gmail.com,,,"Delight TAMU is a college women's community that grows together, serves together, learns together, and does life together all while chasing the heart of God. Our 4 main purposes are to grow, serve, learn, and live together."
Delta Company,,,,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Mentorship,Social,,Interest-driven,zacp98@tamu.edu,https://www.facebook.com/corps.tamu.veteran,,The purpose of Delta Company is to provide a place for veterans of the U.S. Military to participate in the Corps of Cadets in an environment both conducive and respectful to their service. D Co affords its members the opportunity of participating in and passing on the traditions of the Texas A&M Corps of Cadets.
Delta Delta Delta,,,Undergraduate,,Women,,,,,Yes,,Yes,Medium,Medium,100+,Social,No,Yes,,Social events,,"Networking, Mentorship",Social,,Interest-driven,aggietrideltapresident@gmail.com,http://tamu.tridelta.org,Yes,"The Purpose of Delta Delta Delta shall be to establish a perpetual bond of friendship among its members, to develop a stronger and more womanly character, to broaden the moral and intellectual life, and to assist its members in every possible way."
Delta Epsilon Psi Fraternity Inc.,,,Undergraduate,South Asian,Men,,,,,Yes,,No,Low,Medium,100+,Cultural,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,mark.f.gammafa25@gmail.com,,,"We, the brothers of Delta Epsilon Psi, vow to be a fraternity whose primary purpose is to instill brotherhood, discipline, and commitment within its members through various social and service driven endeavors."
Delta Eta Pi Dance Honor Society,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Creative,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Social,,Interest-driven,deptamudance@gmail.com,,,"Delta Eta Pi is the National Dance Society’s honor society. Its purpose is to provide an organization dedicated to the advancement of dance and dance education in middle and secondary schools, studios, colleges, universities, and other institutions of higher learning."
Delta Gamma,,Undergraduate,Undergraduate,,Women,,,,,,,No,Low,Low,100+,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,aggiedgpresident@gmail.com,http://tamudeltagamma.com,No,"The objects of this Fraternity shall be to foster high ideals of friendship among college women, promote their educational and cultural interests, create in them a true sense of social responsibility, and develop in them the best qualities of character."
Delta Kappa Delta (formerly B.E.T.I.S.),,Undergraduate,Undergraduate,South Asian,Women,,,,,,,No,Low,Medium,20-50,Cultural,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,dkd.presidentalpha@gmail.com,https://tinyurl.com/DKD-TAMU,No,"Delta Kappa Delta commits itself to fostering a united sisterhood, the development of indomitable spirit, the betterment of community through humanitarian services, and the education of ourselves and others about the Indian Subcontinental culture."
Delta Sigma Phi,,Undergraduate,Undergraduate,,Men,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,Volunteering,,Leadership development,Social,,Interest-driven,deltasig.thetaupsilon@gmail.com,https://deltasig.org/,No,"This organization has been established to provide the men of Aggieland an opportunity to better their campus, their community, and most importantly an opportunity to better themselves. Our organization seeks to build the better man and create excellent, strong-willed leaders."
Delta Sigma Pi,"Business, Finance, Accounting, Marketing, Economics",,"Junior, Senior, Graduate",,,,,,,No,,Yes,Medium,Medium,20-50,Professional,No,Yes,,Social events,,"Networking, Mentorship",Social,,Interest-driven,tamudeltasigmapi@gmail.com,http://aggiedsp.org,No,"Delta Sigma Pi is a professional fraternity organized to foster the study of business in universities; to encourage scholarship, social activity and the association of students for their mutual advancement by research and practice; to promote closer affiliation between the commercial world and students of commerce, and to further a higher standard of commercial ethics and culture and the civic and commercial welfare of the community."
Delta Sigma Theta Sorority,,Undergraduate,Undergraduate,,Women,,,,,No,,No,Low,Medium,100+,Cultural,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,oqdstpresident@gmail.com,http://tamuoq.weebly.com,Yes,"Delta Sigma Theta Sorority, Incorporated. is a private, not for profit organization whose purpose is to provide assistance and support through established programs in local communities throughout the world. The Omicron Omega Chapter of Delta Sigma Theta at Texas A&M serves the Bryan/College Station community."
Delta Tau Delta,,Undergraduate,Undergraduate,,Men,,,,,,,No,Low,Medium,100+,Social,No,Yes,,Volunteering,,"Networking, Leadership development",Social,,Interest-driven,,https://www.aggiedelts.org,Yes,"Delta Tau Delta promotes the development of character through participating in community service, leadership, scholarship, and brotherhood building activities. The organization is committed to lives of excellence."
Delta Zeta,,Undergraduate,Undergraduate,,Women,,,,,,,Yes,High,Medium,100+,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,aggiedzpres@gmail.com,http://www.aggiedz.org,Yes,"The purpose of this sorority shall be to unite its members in the bonds of sincere and lasting friendship, to stimulate one another in the pursuit of knowledge, to promote the moral and social culture of its members, and to develop plans for guidance and unity in action."
"Department of Agriculture Leadership, Education and Communications Aggie Reps",,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,tamu.alec.aggiereps@gmail.com,http://tx.ag/ALECReps,No,"The purpose of this organization shall be to represent the Department of Agricultural Leadership, Education and Communications (ALEC), The College of Agriculture and Life Sciences (COALS), and Texas A&M University (TAMU) to prospective and current students, as well as the community. ALEC Aggie Reps focus on recruitment for the ALEC Department as well as improving current student/faculty/staff relations."
Department of Multicultural Services,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Social,,Interest-driven,dmsinfo@tamu.edu,https://dms.tamu.edu,No,"The Department of Multicultural Services (DMS) provides students with social integration opportunities through holistic engagement and development, helping them adjust, connect, and reach their goals."
Dermatological TAMU,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,,,No,Low,Medium,0-20,Professional,No,Yes,,"Workshops, Volunteering",,"Networking, Mentorship",Professional,,Interest-driven,dermatological.tamu@gmail.com,http://dermatologicaltamu.com,,"The mission of Dermatological TAMU is to provide a platform for Aggies interested in dermatology to connect and address the critical issue of health literacy related to skin health and hygiene. Utilizing a dermatologist-reviewed curriculum, the organization strives to educate K-12 and college students about skin health."
Desi Aggies,,,Undergraduate,South Asian,,,,,,No,,No,Low,Low,20-50,Cultural,No,Yes,,Social events,,Networking,Social,,Interest-driven,desi.aggies@gmail.com,,,"The Desi Aggies' mission is to be a bridge for other South Asian organizations to collaborate, work together, and complement each other to serve the South Asian students at Texas A&M. We provide a bi-monthly inclusive opportunity for any students to meet together over a cup of chai, develop friendships, network, find community and support, and enjoy desi cultural activities."
Destino,,Undergraduate,Undergraduate,"Hispanic, Latino",,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,destino.tamucs@gmail.com,https://www.aggiecru.com/destino,No,"Destino is a community of Latinos seeking to grow their faith, share their faith, and fulfill the Great Commission. As part of the Destino familia you will learn to embrace the way God created you as a Latino(a) in Christ and understand how your ethnic identity can help you share the Gospel on campus, in your community, and across the world."
Developing Business Leaders,"Business, Finance, Accounting, Marketing, Economics",Undergraduate,"Junior, Senior",,,,,,,Yes,,Yes,High,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship, Leadership development",Professional,,High commitment,dbltamu@gmail.com,,,To develop critical thinking skills in driven individuals to empower their visions of change.
Diabetes Care Interest Group,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,Monthly,,,No,,No,Low,Medium,0-20,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Professional,,Interest-driven,,,,To lead the understanding of diabetes care and address unmet diabetes clinical needs amongst like-minded medical students and professionals.
Dialogue Student Association,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,"Workshops, Social events",,"Networking, Leadership development",Social,,Interest-driven,tamudsa@gmail.com,,,"Our mission as DSA is fostering meaningful dialogue across diverse conversations, uniting individuals from varied backgrounds, and uncovering shared ground to forge connections among all."
Diamond Darlings,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,aggiediamonddarlings@gmail.com,https://aggiediamonddarlings.wixsite.com/aggiediamonddarlings,No,The main purpose of Diamond Darlings is to promote Aggie Baseball. We promote spirit both on campus and throughout the community.
Disability Resources,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Mentorship",Social,Yes,Interest-driven,disability@tamu.edu,https://disability.tamu.edu,No,"Disability Resources staff members interact and collaborate with students, faculty and staff to promote an inclusive environment at Texas A&M University by educating the campus community and facilitating appropriate accommodations for students with disabilities."
Division of Student Affairs,,,Undergraduate,,,,,,,No,,No,Low,Medium,100+,Service,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,vpsa@tamu.edu,https://studentaffairs.tamu.edu/,No,"The Division of Student Affairs is a community of dedicated professionals who provide exceptional programs, services, and facilities that create a supportive campus environment where students feel a sense of community and have the opportunity to develop as leaders."
DJ's of Aggieland,,,Undergraduate,,,,,,,No,,No,Low,Low,20-50,Social,No,Yes,Open,Social events,,Networking,Social,,Interest-driven,thedjsofaggieland@gmail.com,,,"At DJOA our mission is to provide a fun, collaborative, and friendly environment to teach members how to DJ, create and share electronic music, and provide opportunities for members to DJ live."
Don & Ellie Knauss Veteran Resource & Support Center,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Mentorship",Social,,Interest-driven,aggievets@tamu.edu,https://aggieveterans.tamu.edu,No,"The Veteran Resource & Support Center provides ‘application to vocation’ services support to all Aggie student veterans and military affiliated students by identifying, developing, and delivering uniquely tailored resources and programs."
Doulos,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Mentorship,Social,,Interest-driven,doulos@grace-bible.org,http://doulos.tamu.edu,No,"The purpose of Doulos is to raise up workers for the harvest by teaching students how to worship God in every aspect of their lives, thereby leading them into spiritual maturity through discipleship, love, and the help of the Holy Spirit."
Dreamcatchers Texas A&M Chapter,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Low,0-20,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,,,,Dreamcatchers creates powerful connections between the younger and older generations by empowering Texas A&M students to fulfill end-of-life dreams of hospice patients.
DSA Assessment Committee,,,All majors welcome,,,,,,,No,,No,Low,Medium,20-50,Other,No,Yes,,Workshops,,Networking,Professional,,Interest-driven,,https://studentaffairs.tamu.edu/assessment-committee/,No,"The Assessment Committee serves as a liaison between the Division of Student Affairs (DSA) departments and Student Affairs Planning, Assessment & Research. The committee supports and promotes quality assessment efforts to improve programs, services, efficiencies, and effectiveness."
DSA Awards Committee,,,All majors welcome,,,,,,,No,,No,Low,Medium,20-50,Other,No,Yes,,Projects,,Networking,Social,,Interest-driven,,https://studentaffairs.tamu.edu/awards/,No,"The DSA Awards Committee coordinates the selection process for various Division awards including the Randy Matson Association of Former Students' Awards, the John J. Koldus Award and the DSA Awards of Distinction. Committee members plan and implement the Annual DSA Awards Presentation Program."
DSA Committee on Student Learning in the Co-curricular,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Other,No,Yes,,Workshops,,"Networking, Mentorship",Academic-focused,,Interest-driven,sforrester@tamu.edu,https://studentaffairs.tamu.edu/dsa-committee-on-student-learning-in-the-co-curricular/,No,"The Division of Student Affairs (DSA) Committee on Student Learning in the Co-Curricular (CSL) promotes the understanding, implementation, assessment, and improvement of transformative learning experiences to prepare students to become integrative and lifelong learners."
DSA Risk Management Coordination Committee,,,All majors welcome,,,,,,,No,,No,Low,Medium,20-50,Other,No,Yes,,Projects,,,Professional,,Interest-driven,,https://studentaffairs.tamu.edu/risk-management-coordination-committee/,No,"The Risk Management Coordination Committee is made up of representatives from across the Division of Student Affairs. The purpose of the committee is to provide the Division with the tools to identify, assess, and mitigate risk."
DSA Staff Development Team,,,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Workshops,,"Networking, Mentorship",Professional,,Interest-driven,,http://studentaffairs.tamu.edu/staff-development-team/,No,"The Staff Development Team works to enhance the competencies of professionals in the Division of Student Affairs by facilitating purposeful, innovative, and engaging activities that educate, train and develop."
DSA Staff Wellbeing & Appreciation Committee,,,All majors welcome,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,swac@dsa.tamu.edu,https://studentaffairs.tamu.edu/dsa-swac/,No,The Division of Student Affairs (DSA) Staff Wellbeing and Appreciation Committee (SWAC) promotes the recognition of DSA staff and creates a culture of wellbeing by encouraging staff to live a healthier lifestyle and supporting a healthy workplace.
Dunn Community Council,,,Undergraduate,,,,,,,No,,No,Low,Medium,50-100,Social,No,Yes,,Social events,,Networking,Social,,Casual,capricerisby@tamu.edu,https://rha.tamu.edu,No,"The Dunn Hall Community Council represents the residents of Dunn Hall at Texas A&M University. Operating under the guidance of the Residential Housing Association (RHA), the council is dedicated to enhancing the residential experience by fostering community engagement, organizing programs, and advocating for resident needs."
The Eckleburg Project,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Creative,No,Yes,,Projects,,Networking,Social,,Interest-driven,theeckleburgproject@gmail.com,http://theeckleburgproject.com,No,The mission of The Eckleburg Project is to provide a medium for the creative writers and artists of Texas A&M University to convey their experiences as students and as individuals. We want to reward creativity in all its forms and to help the artists of A&M reach out to their peers and to their community.
Ecological Integration Symposium,,,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Academic,No,Yes,,Projects,,"Networking, Mentorship",Academic-focused,,Interest-driven,theeis.tamu@gmail.com,https://eeb.tamu.edu/eis/,No,The mission of the Ecological Integration Symposium Organization is to promote the integration of ecological research through an interdisciplinary event at Texas A&M University. The Ecological Integration Symposium Organization encourages the presentation of both graduate and undergraduate student research at Texas A&M University through an annual research symposium from a variety of different departments.
Ecology & Evolutionary Biology Student Organization,,,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Academic,No,Yes,,Projects,,"Networking, Mentorship",Academic-focused,,Interest-driven,,http://eeb.tamu.edu/people/eebiso-journal-club/,No,"The purpose of the Ecology and Evolutionary Biology Interdisciplinary Student Organization (EEBISO) is to formally integrate the social, scholastic, and research activities of graduate students from multiple departments in several colleges within Texas A&M University (TAMU) that are interested in ecology and evolutionary biology."
Ecology and Conservation Biology Graduate Student Association,,,Undergraduate,,,,,,,,,No,Low,Low,0-20,Other,No,Yes,,Social events,,Networking,Social,,Casual,helpdesk@dsa.tamu.edu,,,
Educational Psychology Student Organization,Education,,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Professional,,Interest-driven,epso@tamu.edu,,,"The Educational Psychology Graduate Student Organization (EPSO) connects graduate students with faculty and staff in the EPSY department, fostering a sense of belonging and empowering students to engage in departmental initiatives. EPSO promotes academic excellence, career development, and collaboration in alignment with the department’s mission."
Electrical and Computer Engineering Graduate Student Association,Engineering,Graduate,Graduate,,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Professional,,Interest-driven,ecegsa@tamu.edu,http://ecegsatamu.com,No,"Our mission is to serve the interests and address concerns of the graduate students at the Texas A&M Department of Electrical and Computer Engineering, with a focus on their professional development and quality of life."
The Electrochemical Society,,,"Junior, Senior, Graduate",,,,Monthly,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Professional,,Interest-driven,tamuecs@gmail.com,https://ecstamu.wixsite.com/home,No,The Electrochemical Society aims to promote electrochemical and solid state science and technology at Texas A&M University and enrich students' lives by organizing activities and holding events such as seminars and conferences.
Employment & Labor Law Student Association,"Pre-Law, Law",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Networking,,Networking,Professional,,Interest-driven,,,,Texas A&M's Employment & Labor Law Student Association seeks to expose law students to current issues in Employment & Labor Law through panel discussions and networking opportunities.
Engineers for a Sustainable World,Engineering,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,"Volunteering, Projects",,"Networking, Leadership development",Social,,Interest-driven,tamu.esw@gmail.com,https://www.tamuesw.com,No,"The purpose of this organization is to create a world of environmental, social and economic prosperity through implementing engineering principles in philanthropic efforts to design, educate, and unite for the community."
Engineers Without Borders,Engineering,,"Junior, Senior, Graduate",,,,,,,Yes,,No,Low,Medium,20-50,Service,No,Yes,,Projects,,"Networking, Leadership development",Very active,,Interest-driven,president@ewb-tamu.org,https://www.ewb-tamu.org,Yes,"EWB-TAMU delivers sustainable and innovative solutions to real-world problems in order to empower international communities by offering opportunities for the students of Texas A&M University to manage international engineering projects, develop relationships with members of other cultures, create engineering designs, lead the implementation of those designs, and initiate the supporting functions of the projects."
ENGR TA Organization,Engineering,,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Academic,No,Yes,,Volunteering,,"Networking, Mentorship",Academic-focused,,Interest-driven,taoengr@gmail.com,http://tx.ag/taoserver,No,"TAO's mission is to bolster and facilitate student, peer tutor, volunteer, and professor communication by hosting large scale reviews for course material, exams, and finals in collaboration with Engineering Professors for introductory Engineering coursework."
EnMED Health Innovations,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,Bi-weekly,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Projects,,"Networking, Mentorship",Professional,,Interest-driven,,,,The purpose of Health Innovations Seminar is to position EnMed as the academic hub of health innovation in the TMC and beyond.
Entomology Graduate Student Organization,,,Graduate,,,,Monthly,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Social events,,Networking,Social,,Interest-driven,entograds@gmail.com,http://tamuegso.weebly.com,,"To foster the interests of the graduate students of the Department of Entomology, promote and support academic and social activities of interest to graduate students, and serve as liaison between the faculty and staff of the Department of Entomology and other related organizations, and the graduate students."
Entrepreneurial Leadership Association,,,Graduate,,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,Open,"Social events, Service opportunities",,"Networking, Mentorship",Social,,Interest-driven,enla.tamu@gmail.com,,,"Our mission is to foster a tight-knit, empowering community of aspiring entrepreneurial leaders in the MS-ENLD program. The organization supports personal and professional growth by organizing social events, providing service opportunities, and facilitating campus partnerships."
Environmental Programs Involvement Committee,,,,,,,,,,No,,Yes,Medium,Medium,20-50,Service,No,Yes,,"Social events, Volunteering",,Networking,Social,,Interest-driven,tamuepicofficers@gmail.com,,,EPIC's purpose is to promote the importance of the environmental programs while providing a social network that raises awareness and encourages involvement dealing with environmental concerns.
Epic Movement,,,All majors welcome,Asian,,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,"Social events, Volunteering",,Leadership development,Social,,Interest-driven,,https://tamuepic.wixsite.com/epic,No,"We provide a safe space where students can join and interact in a community of believers who are set on living out the Gospel of Jesus Christ. Our goal is to create a learning and social setting for students through weekly Bible studies, large group activities, and leadership opportunities."
Epidemiology Student Organization,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Guest speakers, Study groups, Journal readings, Social events, Volunteer opportunities, Field trips",,"Networking, Mentorship",Social,,Interest-driven,tamu.eso.president@gmail.com,https://www.linkedin.com/company/96360653/,,"The mission of the ESO is to promote appreciation and career awareness of the public health field. Furthermore, it is the intention of the ESO to help promote lasting ties between its members."
Episcopal Student Association,,,Undergraduate,White,,,,,,No,,No,Low,Low,20-50,Cultural,No,Yes,,Social events,,Networking,Social,,Casual,episcoags@gmail.com,https://www.canterbury.center,,"A place for the Episcopal student community to worship together, to pray, to study, to break bread together, and to build relationships."
Eppright Community Council,,,Undergraduate,,,,,,,No,,No,Low,Medium,50-100,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,o.rosehughesbogiages@tamu.edu,https://rha.tamu.edu,No,"The Eppright Hall Community Council serves as the representative leadership body for residents of Eppright Hall at Texas A&M University. The council is dedicated to enhancing the residential experience by fostering community engagement, organizing programs, and advocating for resident needs."
Eta Kappa Nu,"Electrical Engineering, Computer Engineering",,"Junior, Senior",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,Projects,,"Networking, Mentorship",Professional,,Interest-driven,hkn.tamu@gmail.com,https://www.hkntamu.com,No,To promote and encourage a higher scholastic standing and desire for greater knowledge in the studies prescribed in the Electrical and Computer Engineering curriculum of Texas A&M University.
"Eta Sigma Delta (ESD) Honor Society for Hospitality, Hotel Management and Tourism Texas A&M University Chapter",,,"Junior, Senior, Graduate",,,,,,,,,Yes,Medium,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship, Leadership development",Professional,,Interest-driven,Hyunrae09@tamu.edu,,,"The purpose of the ESD Honor Society is to foster excellence, leadership, and professional development among students interested in Hospitality, Hotel Management, and Tourism. The society is dedicated to recognizing and honoring academic achievement while simultaneously nurturing the personal and professional growth of its members."
"Excellence Uniting Culture, Education, & Leadership",,Undergraduate,Undergraduate,,,,,,,Yes,75,No,Low,Medium,50-100,Social,No,Yes,Open,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,excel.memb@gmail.com,https://excel.tamu.edu,No,"Excellence uniting Culture, Education, and Leadership (ExCEL) is a student organization and student success program designed to help new students find academic, social, and personal balance at Texas A&M. ExCEL assists students in making a smooth transition during their first year as an Aggie by providing opportunities for meaningful and authentic connections to campus."
Extended Orientation,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,100+,Service,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,,,,"The Extended Orientation team in Student Activities provides direct advising, support, and coordination to extended orientation programs at Texas A&M University including Fish Camp, Howdy Camp, T-Camp, Venture Camps, and Traditions Night. These programs welcome around 6,000 incoming students each year to Texas A&M."
